Area_ID,Area
1,"Chennai, Tamil Nadu, India"
2,India
3,"Bengaluru, Karnataka, India"
4,"Chengalpattu, Tamil Nadu, India"
5,Greater Chennai Area
6,"Bangalore Urban, Karnataka, India"
7,"Tiruvallur, Tamil Nadu, India"
8,"Coimbatore, Tamil Nadu, India"
9,"Tamil Nadu, India"
10,"Jharkhand, India"
11,Greater Hyderabad Area
12,"Gurgaon, Haryana, India"
13,San Francisco Bay Area
14,"Gurugram, Haryana, India"
15,23 connections
16,"London Area, United Kingdom"
17,"Mumbai, Maharashtra, India"
18,"Maharashtra, India"
19,"Udipi, Karnataka, India"
20,"Mangaluru, Karnataka, India"
21,"Irving, Texas, United States"
22,Miami-Fort Lauderdale Area
23,New York City Metropolitan Area
24,"Great Falls, Virginia, United States"
25,"San Jose, California, United States"
26,"Amsterdam, North Holland, Netherlands"
27,South Africa
28,"Portland, Oregon, United States"
29,"Sultanpur, Uttar Pradesh, India"
30,United Kingdom
31,"Hyderabad, Telangana, India"
32,"London, England, United Kingdom"
33,"Arakkonam, Tamil Nadu, India"
34,"Orissa, India"
35,"Kanchipuram, Tamil Nadu, India"
36,"Tiruchirappalli, Tamil Nadu, India"
37,"Thoothukudi, Tamil Nadu, India"
38,"Andhra Pradesh, India"
39,"Folsom, California, United States"
40,"Basingstoke, England, United Kingdom"
41,"Plano, Texas, United States"
42,"New York, New York, United States"
43,"North Olmsted, Ohio, United States"
44,"Tripura, India"
45,"Milton Keynes, England, United Kingdom"
46,"Karnataka, India"
47,"Namakkal, Tamil Nadu, India"
48,"Tirupati, Andhra Pradesh, India"
49,"Delhi, India"
50,"Erode, Tamil Nadu, India"
51,"Malappuram, Kerala, India"
52,"Cuddalore, Tamil Nadu, India"
53,"Mumbai Suburban district, Maharashtra, India"
54,"Madurai, Tamil Nadu, India"
55,"Jamshedpur, Jharkhand, India"
56,"Gwalior, Madhya Pradesh, India"
57,"Eluru, Andhra Pradesh, India"
58,"Rotterdam, South Holland, Netherlands"
59,"Hoofddorp, North Holland, Netherlands"
60,"North Delhi, Delhi, India"
61,United States
62,"Amstelveen, North Holland, Netherlands"
63,"Harlow, England, United Kingdom"
64,"Alpharetta, Georgia, United States"
65,500+ connections
66,"Salem, Tamil Nadu, India"
67,"Cuttack, Orissa, India"
68,"Beaverton, Oregon, United States"
69,"Pune, Maharashtra, India"
70,Greater Vijayawada District
71,Greater Bengaluru Area
72,"Chinthamani Madurai, Tamil Nadu, India"
73,Pune/Pimpri-Chinchwad Area
74,Singapore
75,Panama
76,"Thiruvananthapuram Taluk, Kerala, India"
77,"Haveri, Karnataka, India"
78,"County Dublin, Ireland"
79,"Opfikon, Zurich, Switzerland"
80,"The Hague, South Holland, Netherlands"
81,"Haarlem, North Holland, Netherlands"
82,"Sydney, New South Wales, Australia"
83,"Portland, Oregon Metropolitan Area"
84,"The Randstad, Netherlands"
85,"Vellore, Tamil Nadu, India"
86,"Deogarh, Madhya Pradesh, India"
