Mapping_ID_Emp_Id,Skillset,Skill_Id
1,Skills not available,1
2,c,2
2,c++,3
2,java,4
2,matlab,5
2,microsoft office,6
2,core java,7
2,linux,8
2,microsoft excel,9
2,team management,10
2,gnu debugger,11
3,compensation & benefits,12
3,human resources (hr),13
3,payroll administration,14
3,hr transformation,15
3,talent management,16
3,hr strategy,17
4,telecommunications,18
4,pre-sales,19
4,voip,20
4,solution architecture,21
4,sip,22
4,unified communications,23
4,ip,24
4,wireless,25
4,ss7,26
4,network design,27
4,managed services,28
4,product management,29
4,voice over ip (voip),30
4,professional services,31
4,gsm,32
4,ngn,33
4,isdn,34
4,sip trunking,35
5,management,36
5,staffing services,37
5,onboarding,38
5,background checks,39
6,software project management,40
6,requirements analysis,41
6,testing,42
6,software development,43
6,integration,44
6,internet protocol (ip),45
6,wireless technologies,46
6,unix,47
6,embedded systems,48
6,internet of things,49
6,m2m,50
6,datacom,51
6,machine to machine,52
7,talent acquisition,53
7,employee engagement,54
7,hr policies,55
7,human resources,56
7,performance management,57
7,technical recruiting,58
7,business development,59
7,strategy,60
7,hr consulting,61
7,crm,62
7,recruiting,63
7,customer relationship management (crm),64
7,account management,65
7,workforce management,66
7,strategic hr,67
7,new business development,68
7,sales,69
7,lead generation,70
7,employee relations,71
7,leadership,72
7,strategic partnerships,73
7,performance appraisal,74
7,negotiation,75
7,360 feedback,76
8,program management,77
8,project management,78
8,cloud computing,79
8,business intelligence,80
9,sdlc,81
9,it strategy,82
9,requirements gathering,83
9,global delivery,84
9,business analysis,85
9,pmp,86
9,.net,87
9,oracle,88
9,java enterprise edition,89
10,sdh,90
10,dwdm,91
10,transmission,92
10,nms,93
10,provisioning,94
11,project planning,95
11,retail,96
12,python (programming language),97
12,javascript,98
13,agile project management,99
13,distributed team management,100
13,enterprise resource planning (erp),101
13,financial services,102
13,spring framework,103
13,hibernate,104
13,jquery,105
13,bootstrap,106
13,angularjs,107
14,ethernet,108
14,computer network operations,109
14,service delivery,110
14,routing,111
14,mpls,112
14,business process,113
14,qos,114
14,project management office (pmo),115
14,open source software,116
14,leadership development,117
16,php,118
16,c (programming language),119
16,machine learning,120
16,ethereum,121
17,supply chain management,122
17,strategic sourcing,123
17,global sourcing,124
17,supplier negotiation,125
17,supply management,126
17,procurement,127
17,purchasing,128
17,supply chain,129
17,logistics management,130
17,customer service,131
20,icims,132
20,sap erp,133
20,hr operations,134
21,pl/sql,135
22,programming,136
25,iso 27001,137
25,ux / ui designing,138
26,arduino,139
26,digital electronics,140
26,software development life cycle (sdlc),141
26,embedded c,142
26,adobe photoshop,143
26,ms office,144
26,html5,145
26,xml,146
26,sql,147
26,html,148
26,cascading style sheets (css),149
26,oracle sql,150
26,spring boot,151
26,spring mvc,152
26,java database connectivity (jdbc),153
26,communication,154
26,networking,155
26,ccna,156
26,communication systems,157
26,software testing life cycle (stlc),158
26,ddlc,159
27,personnel management,160
27,organizational design,161
27,screening,162
27,change management,163
27,erp,164
27,resource management,165
27,hr business partnering,166
27,deferred compensation,167
27,temporary placement,168
27,strategic planning,169
27,mergers,170
27,executive search,171
27,recruitments,172
27,benefits negotiation,173
27,mergers & acquisitions,174
27,business strategy,175
27,mergers and acquisitions,176
27,compensation & benefit,177
27,employer branding,178
27,workforce planning,179
27,succession planning,180
27,leading change,181
27,hris,182
27,training,183
27,sourcing,184
27,organizational effectiveness,185
27,cross-functional team leadership,186
27,executive management,187
27,global hr leadership,188
27,global leadership,189
27,global human resources management,190
27,hr process management,191
28,angular4,192
28,swiftui,193
28,ios development,194
28,sql server management studio,195
29,learning management,196
29,management consulting,197
29,team leadership,198
29,written & oral presentation skills,199
29,people skills,200
29,training facilitation,201
29,program facilitation,202
30,business consultancy,203
30,powerpoint,204
30,microsoft powerpoint,205
32,teamwork,206
32,it recruitment,207
32,linkedin recruiter,208
32,interviewing,209
32,interviews,210
32,engagement management,211
32,hr analytics,212
32,talent pipelining,213
32,talent scouting,214
32,linkedin,215
33,bss,216
33,oss,217
35,agile methodologies,218
36,interpersonal skills,219
36,microsoft word,220
36,employee learning & development,221
36,employee wellness,222
37,financial reporting,223
37,accounting,224
37,corporate governance,225
37,financial modeling,226
37,corporate law,227
39,data science,228
39,big data,229
39,python,230
39,hadoop,231
39,apache spark,232
42,outsourcing,233
42,bpo,234
42,operations management,235
42,process improvement,236
43,marketing strategy,237
43,product marketing,238
43,corporate branding,239
43,business process improvement,240
43,tableau,241
43,process consulting,242
43,robotics process automation,243
44,algorithms,244
44,data analysis,245
44,object-oriented programming (oop),246
44,deep learning,247
44,eclipse,248
44,problem solving,249
44,android studio,250
46,full-stack development,251
47,sales management,252
47,digital marketing,253
47,market research,254
47,consumer behavior,255
47,business analytics,256
47,statistical data analysis,257
47,financial analysis,258
47,brand management,259
47,r,260
47,spss,261
47,team building,262
47,design thinking,263
48,creative writing,264
48,motivational speaking,265
50,people management,266
51,docker,267
51,data analytics,268
52,elasticsearch,269
52,apache kafka,270
52,kafka,271
52,graphite,272
53,python selenium,273
53,python web developer,274
53,it operations,275
53,digital illustration,276
53,angular,277
53,mysql,278
53,plc allen bradley,279
53,member of toastmasters,280
54,payroll,281
54,recruitment advertising,282
54,new hire orientations,283
54,mis,284
54,exit interviews,285
57,business process re-engineering,286
57,analytics,287
57,management information systems (mis),288
59,spring cloud,289
59,jpa,290
59,spring security,291
59,spring data,292
59,spring integration,293
59,microservices,294
60,kibana,295
61,elastic stack (elk),296
61,data visualization,297
62,it outsourcing,298
62,practice management,299
62,organizational leadership,300
62,strategy planning & execution,301
63,competency mapping,302
66,debugging,303
67,react.js,304
67,computer gaming,305
68,chess,306
71,transition management,307
71,offshoring,308
71,itil,309
71,business transformation,310
71,pmo,311
71,project delivery,312
71,sla,313
71,business process outsourcing (bpo),314
72,user acceptance testing,315
72,telecommunications billing,316
73,client relations,317
74,hiring,318
74,college recruiting,319
75,b/oss,320
75,digital transformation,321
75,business support system (bss),322
75,enterprise architect,323
75,sdn nfv,324
75,togaf 9,325
76,android,326
77,unified modeling language (uml),327
77,programming languages,328
77,algorithm analysis,329
77,algorithm design,330
78,hr management,331
78,analytical skills,332
78,statistics,333
78,mathematics,334
78,research,335
78,public speaking,336
78,organization skills,337
78,multitasking,338
78,decision-making,339
78,german,340
78,organizational behavior,341
78,ethics,342
78,competency analysis,343
79,internet recruiting,344
79,applicant tracking systems,345
79,personal development,346
79,home offices,347
79,virtual collaboration,348
79,virtual work,349
79,life skills,350
81,pandas (software),351
81,predictive modeling,352
81,feature selection,353
82,engineering,354
82,solid works,355
82,catia,356
82,ansys,357
82,solidworks,358
83,angular 6,359
83,english,360
84,entrepreneurship,361
84,web development,362
84,flask,363
84,internet of things (iot),364
87,travel management,365
88,photography,366
88,advertising,367
89,data modeling,368
89,clearcase,369
89,snmp,370
91,visual basic .net (vb.net),371
91,phpmyadmin,372
92,resume writing,373
92,screening resumes,374
92,contract recruitment,375
93,snowflake,376
93,shell scripting,377
93,azure databricks,378
93,azure data factory,379
93,apache airflow,380
93,apache oozie,381
93,apache nifi,382
93,apache sqoop,383
93,hbase,384
93,mapreduce,385
93,apache tez,386
93,apache ranger,387
93,grafana,388
93,influxdb,389
93,apache zookeeper,390
93,hive,391
93,yarn,392
93,kerberos,393
93,nagios,394
93,minif,395
94,selenium,396
94,test automation framework,397
95,computer networking,398
96,corporate communications,399
96,manage client relationships,400
96,recruitment,401
96,microsoft sql server,402
96,asp.net,403
96,human resources information systems (hris),404
96,career counseling,405
97,cmmi,406
97,quality assurance,407
97,software quality assurance,408
97,six sigma,409
97,quality management,410
97,test management,411
97,iso,412
97,capability maturity model integration (cmmi),413
97,quality system,414
97,process simulation,415
97,it service management,416
97,project portfolio management,417
97,hp quality center,418
97,quality center,419
99,immigration law,420
99,policy,421
99,consulting,422
99,expatriate management,423
99,global mobility,424
99,employee benefits,425
100,event planning,426
100,renewable energy,427
103,metasolv m6,428
103,production support,429
103,inventory management,430
103,data migration,431
103,weblogic,432
103,informatica,433
103,oracle database,434
103,telecom infrastructure,435
104,databases,436
105,induction & orientation,437
106,incident management,438
107,4screening    3recruitments    3sourcing    2hr consulting    2recruiting    2ta,439
108,wcdma,440
108,universal mobile telecommunications system (umts),441
108,system architecture,442
108,lte,443
108,femtocell,444
108,mvno,445
108,tr069,446
109,recruitment/retention,447
109,talent mapping,448
109,e-recruitment,449
109,resource allocation,450
