Skill_Id,Skillset
2,c
3,c++
4,java
5,matlab
6,microsoft office
7,core java
8,linux
9,microsoft excel
10,team management
11,gnu debugger
12,compensation & benefits
13,human resources (hr)
14,payroll administration
15,hr transformation
16,talent management
17,hr strategy
18,telecommunications
19,pre-sales
20,voip
21,solution architecture
22,sip
23,unified communications
24,ip
25,wireless
26,ss7
27,network design
28,managed services
29,product management
30,voice over ip (voip)
31,professional services
32,gsm
33,ngn
34,isdn
35,sip trunking
36,management
37,staffing services
38,onboarding
39,background checks
40,software project management
41,requirements analysis
42,testing
43,software development
44,integration
45,internet protocol (ip)
46,wireless technologies
47,unix
48,embedded systems
49,internet of things
50,m2m
51,datacom
52,machine to machine
53,talent acquisition
54,employee engagement
55,hr policies
56,human resources
57,performance management
58,technical recruiting
59,business development
60,strategy
61,hr consulting
62,crm
63,recruiting
64,customer relationship management (crm)
65,account management
66,workforce management
67,strategic hr
68,new business development
69,sales
70,lead generation
71,employee relations
72,leadership
73,strategic partnerships
74,performance appraisal
75,negotiation
76,360 feedback
77,program management
78,project management
79,cloud computing
80,business intelligence
81,sdlc
82,it strategy
83,requirements gathering
84,global delivery
85,business analysis
86,pmp
87,.net
88,oracle
89,java enterprise edition
90,sdh
91,dwdm
92,transmission
93,nms
94,provisioning
95,project planning
96,retail
97,python (programming language)
98,javascript
99,agile project management
100,distributed team management
101,enterprise resource planning (erp)
102,financial services
103,spring framework
104,hibernate
105,jquery
106,bootstrap
107,angularjs
108,ethernet
109,computer network operations
110,service delivery
111,routing
112,mpls
113,business process
114,qos
115,project management office (pmo)
116,open source software
117,leadership development
118,php
119,c (programming language)
120,machine learning
121,ethereum
122,supply chain management
123,strategic sourcing
124,global sourcing
125,supplier negotiation
126,supply management
127,procurement
128,purchasing
129,supply chain
130,logistics management
131,customer service
132,icims
133,sap erp
134,hr operations
135,pl/sql
136,programming
137,iso 27001
138,ux / ui designing
139,arduino
140,digital electronics
141,software development life cycle (sdlc)
142,embedded c
143,adobe photoshop
144,ms office
145,html5
146,xml
147,sql
148,html
149,cascading style sheets (css)
150,oracle sql
151,spring boot
152,spring mvc
153,java database connectivity (jdbc)
154,communication
155,networking
156,ccna
157,communication systems
158,software testing life cycle (stlc)
159,ddlc
160,personnel management
161,organizational design
162,screening
163,change management
164,erp
165,resource management
166,hr business partnering
167,deferred compensation
168,temporary placement
169,strategic planning
170,mergers
171,executive search
172,recruitments
173,benefits negotiation
174,mergers & acquisitions
175,business strategy
176,mergers and acquisitions
177,compensation & benefit
178,employer branding
179,workforce planning
180,succession planning
181,leading change
182,hris
183,training
184,sourcing
185,organizational effectiveness
186,cross-functional team leadership
187,executive management
188,global hr leadership
189,global leadership
190,global human resources management
191,hr process management
192,angular4
193,swiftui
194,ios development
195,sql server management studio
196,learning management
197,management consulting
198,team leadership
199,written & oral presentation skills
200,people skills
201,training facilitation
202,program facilitation
203,business consultancy
204,powerpoint
205,microsoft powerpoint
206,teamwork
207,it recruitment
208,linkedin recruiter
209,interviewing
210,interviews
211,engagement management
212,hr analytics
213,talent pipelining
214,talent scouting
215,linkedin
216,bss
217,oss
218,agile methodologies
219,interpersonal skills
220,microsoft word
221,employee learning & development
222,employee wellness
223,financial reporting
224,accounting
225,corporate governance
226,financial modeling
227,corporate law
228,data science
229,big data
230,python
231,hadoop
232,apache spark
233,outsourcing
234,bpo
235,operations management
236,process improvement
237,marketing strategy
238,product marketing
239,corporate branding
240,business process improvement
241,tableau
242,process consulting
243,robotics process automation
244,algorithms
245,data analysis
246,object-oriented programming (oop)
247,deep learning
248,eclipse
249,problem solving
250,android studio
251,full-stack development
252,sales management
253,digital marketing
254,market research
255,consumer behavior
256,business analytics
257,statistical data analysis
258,financial analysis
259,brand management
260,r
261,spss
262,team building
263,design thinking
264,creative writing
265,motivational speaking
266,people management
267,docker
268,data analytics
269,elasticsearch
270,apache kafka
271,kafka
272,graphite
273,python selenium
274,python web developer
275,it operations
276,digital illustration
277,angular
278,mysql
279,plc allen bradley
280,member of toastmasters
281,payroll
282,recruitment advertising
283,new hire orientations
284,mis
285,exit interviews
286,business process re-engineering
287,analytics
288,management information systems (mis)
289,spring cloud
290,jpa
291,spring security
292,spring data
293,spring integration
294,microservices
295,kibana
296,elastic stack (elk)
297,data visualization
298,it outsourcing
299,practice management
300,organizational leadership
301,strategy planning & execution
302,competency mapping
303,debugging
304,react.js
305,computer gaming
306,chess
307,transition management
308,offshoring
309,itil
310,business transformation
311,pmo
312,project delivery
313,sla
314,business process outsourcing (bpo)
315,user acceptance testing
316,telecommunications billing
317,client relations
318,hiring
319,college recruiting
320,b/oss
321,digital transformation
322,business support system (bss)
323,enterprise architect
324,sdn nfv
325,togaf 9
326,android
327,unified modeling language (uml)
328,programming languages
329,algorithm analysis
330,algorithm design
331,hr management
332,analytical skills
333,statistics
334,mathematics
335,research
336,public speaking
337,organization skills
338,multitasking
339,decision-making
340,german
341,organizational behavior
342,ethics
343,competency analysis
344,internet recruiting
345,applicant tracking systems
346,personal development
347,home offices
348,virtual collaboration
349,virtual work
350,life skills
351,pandas (software)
352,predictive modeling
353,feature selection
354,engineering
355,solid works
356,catia
357,ansys
358,solidworks
359,angular 6
360,english
361,entrepreneurship
362,web development
363,flask
364,internet of things (iot)
365,travel management
366,photography
367,advertising
368,data modeling
369,clearcase
370,snmp
371,visual basic .net (vb.net)
372,phpmyadmin
373,resume writing
374,screening resumes
375,contract recruitment
376,snowflake
377,shell scripting
378,azure databricks
379,azure data factory
380,apache airflow
381,apache oozie
382,apache nifi
383,apache sqoop
384,hbase
385,mapreduce
386,apache tez
387,apache ranger
388,grafana
389,influxdb
390,apache zookeeper
391,hive
392,yarn
393,kerberos
394,nagios
395,minif
396,selenium
397,test automation framework
398,computer networking
399,corporate communications
400,manage client relationships
401,recruitment
402,microsoft sql server
403,asp.net
404,human resources information systems (hris)
405,career counseling
406,cmmi
407,quality assurance
408,software quality assurance
409,six sigma
410,quality management
411,test management
412,iso
413,capability maturity model integration (cmmi)
414,quality system
415,process simulation
416,it service management
417,project portfolio management
418,hp quality center
419,quality center
420,immigration law
421,policy
422,consulting
423,expatriate management
424,global mobility
425,employee benefits
426,event planning
427,renewable energy
428,metasolv m6
429,production support
430,inventory management
431,data migration
432,weblogic
433,informatica
434,oracle database
435,telecom infrastructure
436,databases
437,induction & orientation
438,incident management
439,4screening    3recruitments    3sourcing    2hr consulting    2recruiting    2ta
440,wcdma
441,universal mobile telecommunications system (umts)
442,system architecture
443,lte
444,femtocell
445,mvno
446,tr069
447,recruitment/retention
448,talent mapping
449,e-recruitment
450,resource allocation
451,full-cycle recruiting
452,test planning
453,test automation
454,wan
455,ospf
456,customer experience
457,bgp
458,switches
459,iptv
460,mentoring
461,dsl
462,tcl
463,vlan
464,cwna
465,mobile virtual network operator (mvno)
466,agile
467,ibm db2
468,c#
469,swagger api
470,visual studio
471,selenium webdriver
472,mvc
473,analysis
474,project coordination
475,iis
476,websphere process server
477,vmware esx
478,mobile devices
479,marketing
480,go-to-market strategy
481,start-ups
482,p&l responsibility
483,strategic consulting
484,b2b
485,competitive analysis
486,sales operations
487,p&l management
488,customer retention
489,mobile technology
490,network architecture
491,saas
492,contract negotiation
493,business operations
494,customer service operations
495,operational strategy
496,roaming
